Nr Etime Raw dBm dBmW/m2 sum:dBmW/m2 loop X Y Z 
21 2.97940802574 -103.918281555 -101.48575592 -63.9257583618 -111.003973055 2 5305328.07736 -1375057.52684 3156496.03258 
22 3.12925291061 -94.9100799561 -92.4775543213 -54.9175567627 -105.725256668 3 5305328.07736 -1375057.52684 3156496.03258 
23 3.28147387505 -104.844268799 -102.411743164 -64.8517456055 -106.339971464 1 5305328.27166 -1375057.5772 3156495.91615 
24 3.43619990349 -105.479064941 -103.046539307 -65.486541748 -107.285479441 2 5305328.27166 -1375057.5772 3156495.91615 
25 3.59442591667 -95.4164581299 -92.9839324951 -55.4239349365 -107.54556533 3 5305328.17472 -1375057.55207 3156495.97424 
26 3.74492692947 -105.442321777 -103.009796143 -65.449798584 -107.907255774 1 5305328.17472 -1375057.55207 3156495.97424 
27 3.8999838829 -105.339935303 -102.907409668 -65.3474121094 -107.822877758 2 5305328.04075 -1375057.51735 3156496.05451 
28 4.05788087845 -105.324356079 -102.891830444 -65.3318328857 -113.235192375 3 5305328.04075 -1375057.51735 3156496.05451 
29 4.24316692352 -105.538375854 -103.10585022 -65.5458526611 -113.290738627 1 5305328.38529 -1375057.60665 3156495.84806 
30 4.39328885078 -105.358314514 -102.925788879 -65.3657913208 -113.301340964 2 5305328.38382 -1375057.60627 3156495.84894 
31 4.55231785774 -95.8465881348 -93.4140625 -55.8540649414 -108.113930863 3 5305328.38382 -1375057.60627 3156495.84894 
32 4.70759081841 -89.9433364868 -87.5108108521 -49.9508132935 -99.4356424737 1 5305328.30688 -1375057.58633 3156495.89505 
33 4.88911795616 -97.4818267822 -95.0493011475 -57.4893035889 -94.4445887613 2 5305328.30688 -1375057.58633 3156495.89505 
34 5.04847002029 -95.4626998901 -93.0301742554 -55.4701766968 -94.2180676865 3 5305327.94806 -1375057.49333 3156496.11005 
35 5.20336198807 -104.335800171 -101.903274536 -64.3432769775 -102.576887368 1 5305327.94806 -1375057.49333 3156496.11005 
36 5.35961604118 -105.433959961 -103.001434326 -65.4414367676 -107.236092064 2 5305328.10436 -1375057.53384 3156496.0164 
37 5.53542590141 -104.81426239 -102.381736755 -64.8217391968 -112.358786087 3 5305328.10436 -1375057.53384 3156496.0164 
38 5.69140696526 -105.220619202 -102.788093567 -65.2280960083 -112.867816616 1 5305328.23696 -1375057.5682 3156495.93695 
39 5.81141400337 -105.3983078 -102.965782166 -65.4057846069 -112.847149018 2 5305328.23696 -1375057.5682 3156495.93695 
40 6.00062990189 -105.724342346 -103.291816711 -65.7318191528 -113.372365319 3 5305328.12435 -1375057.53902 3156496.00442 
41 6.18959903717 -105.202468872 -102.769943237 -65.2099456787 -113.36192361 1 5305328.3601 -1375057.60012 3156495.86316 
42 6.34067893028 -105.308815002 -102.876289368 -65.3162918091 -113.310313036 2 5305328.3601 -1375057.60012 3156495.86316 
43 6.49230694771 -105.378379822 -102.945854187 -65.3858566284 -113.109969667 3 5305328.1652 -1375057.54961 3156495.97994 
44 6.64937496185 -105.571647644 -103.139122009 -65.5791244507 -113.32320939 1 5305328.1652 -1375057.54961 3156495.97994 
45 6.83859181404 -105.446479797 -103.013954163 -65.453956604 -113.402611283 2 5305328.16001 -1375057.54826 3156495.98305 
46 6.98868083954 -105.281616211 -102.849090576 -65.2890930176 -113.34684674 3 5305328.10341 -1375057.53359 3156496.01697 
47 7.14209198952 -105.644485474 -103.211959839 -65.6519622803 -113.389004112 1 5305328.10341 -1375057.53359 3156496.01697 
48 7.30315589905 -106.09500885 -103.662483215 -66.1024856567 -113.764600946 2 5305328.27305 -1375057.57756 3156495.91532 
49 7.45719504356 -105.011817932 -102.579292297 -65.0192947388 -113.609979533 3 5305328.27305 -1375057.57756 3156495.91532 
